sample,antibody,species,digestion
dmel_embryo_dl_chipnexus_01,dl,dmel,lambda
dmel_embryo_dl_chipnexus_02,dl,dmel,lambda
dmel_embryo_dl_chipexo_01,dl,dmel,lambda
dmel_embryo_dl_chipexo_02,dl,dmel,lambda
dmel_s2_max_chipnexus_01,max,dmel,lambda
dmel_s2_max_chipnexus_02,max,dmel,lambda
hsap_k562_tbp_chipnexus_01,tbp,hsap,lambda
hsap_k562_tbp_chipnexus_02,tbp,hsap,lambda
hsap_k562_tbp_chipexo_01,tbp,hsap,lambda
hsap_k562_tbp_chipexo_02,tbp,hsap,lambda
dmel_s2_myc_chipnexus_01,myc,dmel,lambda
dmel_s2_myc_chipnexus_02,myc,dmel,lambda
dmel_embryo_twi_chipnexus_01,twi,dmel,lambda
dmel_embryo_twi_chipnexus_02,twi,dmel,lambda
dmel_embryo_twi_chipexo_01,twi,dmel,lambda
dmel_embryo_twi_chipexo_02,twi,dmel,lambda
