name,chr,start,end
sna,chr2L,15485571,15487571
twi,chr2R,18936997,18938126
tup,chr2L,18893565,18895695
dpp,chr2L,2455866,2457725
sna,chr2L,15478144,15481082
sna,chr2L,15485484,15486749
tup,chr2L,18875141,18875548
twi,chr2R,18932429,18933663
zen,chr3R,2580904,2581527
brk,chrX,7214185,7215408
brk,chrX,7190967,7191464
brk,chrX,7191056,7191544
brk,chrX,7214537,7215702
ind,chr3L,15032420,15033835
rho,chr3L,1461823,1462121
rho,chr3L,1461592,1463882
sim,chr3R,8895836,8896466
sog,chrX,15518731,15519122
sog,chrX,15540627,15541510
ths,chr2R,7681778,7682120
ths,chr2R,7681727,7682234
vn,chr3L,5828771,5829267
vn,chr3L,5809977,5810572
vnd,chrX,486740,487087
vnd,chrX,486761,487503
vnd,chrX,485983,487687
vnd,chrX,479413,481119
vnd,chrX,477514,479251
